序号,题材名称,赛道分类,东财板块代码,东财板块名称,覆盖说明
1,人工智能,AI与算力基础设施,pt02003800,人工智能,AI算法、大模型及基础设施
2,数据要素,AI与算力基础设施,pt02GN2200,数据要素,数据资产化与流通交易
3,数字经济,AI与算力基础设施,pt02GN2071,数字经济,数字化产业与产业数字化
4,算力租赁,AI与算力基础设施,pt02GN2234,算力租赁,智算中心 / GPU 算力出租
5,液冷,AI与算力基础设施,pt02GN2224,液冷概念,数据中心液冷散热
6,AI应用,AI与算力基础设施,pt02GN2343,AI应用,人工智能在各行业的落地应用
7,CPO,AI与算力基础设施,pt02GN2211,共封装光模块(CPO),AI算力数据中心高速互联核心环节
8,5G,半导体与电子,pt02003714,5G概念,5G通信网络建设与应用
9,半导体,半导体与电子,pt01801081,半导体,芯片设计/制造/设备/材料全链条
10,消费电子,半导体与电子,pt01801085,消费电子,手机/PC/可穿戴等终端
11,华为概念,科技主题/国产替代,pt02021291,华为概念,华为产业链合作厂商
12,苹果概念,科技主题/国产替代,pt02003666,苹果概念,苹果供应链厂商
13,信创,科技主题/国产替代,pt02GN2043,信创,信息技术应用创新（国产软硬件替代）
14,低空经济,机器人与高端制造,pt02GN2294,低空经济,无人机/eVTOL 等低空飞行经济
15,机器人,机器人与高端制造,pt01850781,机器人概念,工业/人形机器人及核心零部件
16,创新药,医药生物,pt02131362,创新药,原研新药研发与商业化
17,减肥药,医药生物,pt02GN2250,减肥药,GLP-1 等减重药物
18,医疗器械,医药生物,pt01801153,医疗器械,医疗设备与耗材
19,CRO,医药生物,pt02251441,CRO,医药研发外包服务
20,储能,新能源与电池,pt02011424,储能概念,锂电/抽水蓄能等储能系统
21,固态电池,新能源与电池,pt02081407,固态电池,固态电解质电池技术
22,光伏,新能源与电池,pt02010005,光伏概念,光伏发电产业链（硅料/组件/逆变器）
23,锂电池,新能源与电池,pt01857371,锂电池,动力电池及储能电池
24,国防军工,军工与航天,pt01801740,国防军工,武器装备与军工电子
25,商业航天,军工与航天,pt02GN2306,商业航天,民营火箭卫星星座
26,黄金,资源材料,pt01850531,黄金,黄金采选冶炼及黄金资产
27,稀土永磁,资源材料,pt02003578,稀土永磁,稀土开采冶炼及永磁材料
28,游戏,传媒消费,pt02003509,网络游戏,网络游戏研发与运营
